quote,author,category,escola
"Persuasion is achieved by the speaker's personal character when the speech is so spoken as to make us think him credible. We believe good men more fully and more readily than others: this is true generally whatever the question is, and absolutely true where exact certainty is impossible and opinions are divided.",Aristotle,"Character, Men, Believe ",Peripatético / Aristotelismo
"The evil that is in the world almost always comes of ignorance, and good intentions may do as much harm as malevolence if they lack understanding.",Albert Camus,"Ignorance, Evil, World ",Existencialismo / Absurdismo
It takes more than just a good looking body. You've got to have the heart and soul to go with it.,Epictetus,"Health, Heart, Soul ",Estoicismo
"The general who advances without coveting fame and retreats without fearing disgrace, whose only thought is to protect his country and do good service for his sovereign, is the jewel of the kingdom.",Sun Tzu,"Service, Thought, Fame ",Filosofia Militar Chinesa
The aim of a college education is to teach you to know a good man when you see one.,William James,"Education, Man, College ",Pragmatismo
"Not life, but good life, is to be chiefly valued.",Socrates,"Life, Good Life, Valued ",Filosofia Socrática
Doing well is the result of doing good. That's what capitalism is all about.,Ralph Waldo Emerson,"Doing Good, Capitalism ",Transcendentalismo
Virtue is persecuted more by the wicked than it is loved by the good.,Buddha,"Loved, Virtue, Than ",Budismo
"We ought to do good to others as simply as a horse runs, or a bee makes honey, or a vine bears grapes season after season without thinking of the grapes it has borne.",Marcus Aurelius,"Thinking, Horse, Bee ",Estoicismo
Whoever does not have a good father should procure one.,Friedrich Nietzsche,"Father, Good Father, Should ",Niilismo / Existencialismo (precursor)
"Jealousy is both reasonable and belongs to reasonable men, while envy is base and belongs to the base, for the one makes himself get good things by jealousy, while the other does not allow his neighbour to have them through envy.",Aristotle,"Jealousy, Men, Good Things ",Peripatético / Aristotelismo
"Twice and thrice over, as they say, good is it to repeat and review what is good.",Plato,"They Say, Review, Say ",Platonismo
"Of all that is good, sublimity is supreme. Succeeding is the coming together of all that is beautiful. Furtherance is the agreement of all that is just. Perseverance is the foundation of all actions.",Lao Tzu,"Perseverance, Beautiful ",Taoismo
"When one has the feeling of dislike for evil, when one feels tranquil, one finds pleasure in listening to good teachings; when one has these feelings and appreciates them, one is free of fear.",Buddha,"Fear, Listening, Evil ",Budismo
It is not good to be too free. It is not good to have everything one wants.,Blaise Pascal,"Free, Everything, Wants ",Jansenismo / Existencialismo Cristão (precursor)
"Here is the rule to remember in the future, When anything tempts you to be bitter: not, 'This is a misfortune' but 'To bear this worthily is good fortune.'",Marcus Aurelius,"Future, Remember ",Estoicismo
"A heart well prepared for adversity in bad times hopes, and in good times fears for a change in fortune.",Horace,"Change, Wisdom, Adversity ",Epicurismo (influência)
"As a matter of self-preservation, a man needs good friends or ardent enemies, for the former instruct him and the latter take him to task.",Diogenes,"Friends, Man, Good Friends ",Cinismo
A good indignation brings out all one's powers.,Ralph Waldo Emerson,"Brings, Out, Indignation ",Transcendentalismo
What I like to drink most is wine that belongs to others.,Diogenes,"Wine, Drink, Like ",Cinismo
Man is not logical and his intellectual history is a record of mental reserves and compromises. He hangs on to what he can in his old beliefs even when he is compelled to surrender their logical basis.,John Dewey,"Man, Intellectual, Beliefs ",Pragmatismo
"Jesus Christ belonged to the true race of prophets. He saw with open eye the mystery of the soul. Drawn by its severe harmony, ravished with its beauty, he lived in it and had his being there. Alone in all history, he estimated the greatness of man.",Ralph Waldo Emerson,"Beauty, Alone, Mystery ",Transcendentalismo
"To correct a natural indifference I was placed half-way between misery and the sun. Misery kept me from believing that all was well under the sun, and the sun taught me that history wasn't everything.",Albert Camus,"Sun, Me, Natural ",Existencialismo / Absurdismo
The history of mankind is the instant between two strides taken by a traveler.,Franz Kafka,"Mankind, Two, Between ",Existencialismo (influência) / Absurdo
But every historical statement and legitimization itself moves within a certain relation to history.,Martin Heidegger,"Within, Historical ",Fenomenologia / Existencialismo
"In the course of history, men come to see that iron necessity is neither iron nor necessary.",Friedrich Nietzsche,"Men, Iron, See ",Niilismo / Existencialismo (precursor)
"Pessimism leads to weakness, optimism to power.",William James,"Positive, Optimism, Weakness ",Pragmatismo
"There will be no end to the troubles of states, or of humanity itself, till philosophers become kings in this world, or till those we now call kings and rulers really and truly become philosophers, and political power and philosophy thus come into the same hands.",Plato,"Humanity, World, Philosophy ",Platonismo
The ultimate value of life depends upon awareness and the power of contemplation rather than upon mere survival.,Aristotle,"Life, Value, Survival ",Peripatético / Aristotelismo
Balk the enemy's power force him to reveal himself. ,Sun Tzu,"Enemy, Force, Him ",Filosofia Militar Chinesa
"What it lies in our power to do, it lies in our power not to do.",Aristotle,"Lies, Our ",Peripatético / Aristotelismo
I only wish that ordinary people had an unlimited capacity for doing harm then they might have an unlimited power for doing good. ,Socrates,"Good, Doing Good, People ",Filosofia Socrática
It is folly for a man to pray to the gods for that which he has the power to obtain by himself.,Epicurus,"Man, Pray, Folly ",Epicurismo
"In a democracy the poor will have more power than the rich, because there are more of them, and the will of the majority is supreme.",Aristotle,"Democracy, Rich, Poor ",Peripatético / Aristotelismo
To give aid to every poor man is far beyond the reach and power of every man. Care of the poor is incumbent on society as a whole.,Baruch Spinoza,"Man, Society, Care ",Racionalismo
"I assess the power of a will by how much resistance, pain, torture it endures and knows how to turn to its advantage.",Friedrich Nietzsche,"Pain, Resistance, Turn ",Niilismo / Existencialismo (precursor)
"And so it is, that both the Devil and the angelic Spirit present us with objects of desire to awaken our power of choice.",Rumi,"Devil, Choice, Present ",Sufismo
To live happily is an inward power of the soul.,Marcus Aurelius,"Soul, Live, Inward ",Estoicismo
"Justice and power must be brought together, so that whatever is just may be powerful, and whatever is powerful may be just.",Blaise Pascal,"Justice, Together, Powerful ",Jansenismo / Existencialismo Cristão (precursor)
The world itself is the will to power - and nothing else! And you yourself are the will to power - and nothing else!,Friedrich Nietzsche,"World, Yourself, You ",Niilismo / Existencialismo (precursor)
Ambition is the immoderate desire for power.,Baruch Spinoza,"Ambition, Desire ",Racionalismo
"What is good? All that heightens the feeling of power, the will to power, power itself in man.",Friedrich Nietzsche,"Good, Man, Feeling ",Niilismo / Existencialismo (precursor)
Man's greatness lies in his power of thought.,Blaise Pascal,"Man, Greatness, Thought ",Jansenismo / Existencialismo Cristão (precursor)
"Not necessity, not desire - no, the love of power is the demon of men. Let them have everything - health, food, a place to live, entertainment - they are and remain unhappy and low-spirited: for the demon waits and waits and will be satisfied.",Friedrich Nietzsche,"Love, Food, Health ",Niilismo / Existencialismo (precursor)
Freedom is nothing but a chance to be better.,Albert Camus,"Freedom, Better, Nothing ",Existencialismo / Absurdismo
There is no chance and anarchy in the universe. All is system and gradation. Every god is there sitting in his sphere.,Ralph Waldo Emerson,"God, Universe, Anarchy ",Transcendentalismo
"There are people who want to make men's lives more difficult for no other reason than the chance it provides them afterwards to offer their prescription for alleviating life; their Christianity, for instance.",Friedrich Nietzsche,"Life, Men, People ",Niilismo / Existencialismo (precursor)
"Chance gives rise to thoughts, and chance removes them; no art can keep or acquire them.",Blaise Pascal,"Art, Thoughts, Rise ",Jansenismo / Existencialismo Cristão (precursor)
"It is just that we should be grateful, not only to those with whose views we may agree, but also to those who have expressed more superficial views; for these also contributed something, by developing before us the powers of thought.",Aristotle,"Grateful, Thought, May ",Peripatético / Aristotelismo
"Never lose an opportunity of seeing anything beautiful, for beauty is God's handwriting.",Ralph Waldo Emerson,"Beauty, Beautiful ",Transcendentalismo
"Woman is a ray of God. She is not that earthly beloved: she is creative, not created.",Rumi,"Woman, Creative, She ",Sufismo
Whosoever is delighted in solitude is either a wild beast or a god.,Aristotle,"Solitude, Wild, Beast ",Peripatético / Aristotelismo
God is the indwelling and not the transient cause of all things.,Baruch Spinoza,"Things, Transient ",Racionalismo
"If God listened to the prayers of men, all men would quickly have perished: for they are forever praying for evil against one another.",Epicurus,"Men, Evil, Forever ",Epicurismo
Is man one of God's blunders? Or is God one of man's blunders?,Friedrich Nietzsche,"Man, Blunders ",Niilismo / Existencialismo (precursor)
Woman was God's second mistake.,Friedrich Nietzsche,"Woman, Mistake, Second ",Niilismo / Existencialismo (precursor)
"The end of life is to be like God, and the soul following God will be like Him.",Socrates,"Life, Soul, End ",Filosofia Socrática
